corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
wikimedia	v20190628	wikimedia	v20230407	29	215	7	24.13	3.25
wikimedia	v20190628	wikimedia	v20210402	29	210	7	24.13	3.33
wikimedia	v20190628	Ubuntu	v14.10	29	972	0	0	0
wikimedia	v20190628	GNOME	v1	29	61	0	0	0
wikimedia	v20190628	Tatoeba	v2023-04-12	29	59	0	0	0
wikimedia	v20190628	Tatoeba	v2020-11-09	29	58	0	0	0
wikimedia	v20190628	Tatoeba	v2021-03-10	29	58	0	0	0
wikimedia	v20190628	Tatoeba	v2021-07-22	29	58	0	0	0
wikimedia	v20190628	Tatoeba	v2022-03-03	29	58	0	0	0
wikimedia	v20190628	Tatoeba	v20190709	29	57	0	0	0
wikimedia	v20190628	Tatoeba	v2020-05-31	29	57	0	0	0
wikimedia	v20190628	Tatoeba	v2	29	41	0	0	0
