corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
wikimedia	v20190628	wikimedia	v20230407	1074	3696	628	58.47	16.99
wikimedia	v20190628	wikimedia	v20210402	1074	2205	628	58.47	28.48
wikimedia	v20190628	Tatoeba	v2023-04-12	1074	5434	0	0	0
wikimedia	v20190628	Tatoeba	v2022-03-03	1074	5382	0	0	0
wikimedia	v20190628	Tatoeba	v2021-07-22	1074	5379	0	0	0
wikimedia	v20190628	Tatoeba	v2021-03-10	1074	5363	0	0	0
wikimedia	v20190628	Tatoeba	v2020-11-09	1074	5308	0	0	0
wikimedia	v20190628	Tatoeba	v2020-05-31	1074	5295	0	0	0
wikimedia	v20190628	Tatoeba	v20190709	1074	5262	0	0	0
wikimedia	v20190628	Tatoeba	v2	1074	2601	0	0	0
