corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
wikimedia	v20210402	wikimedia	v20230407	52	65	52	100.00	80.00
wikimedia	v20210402	wikimedia	v20190628	52	22	2	3.84	9.09
wikimedia	v20210402	Tatoeba	v2023-04-12	52	204	1	1.92	.49
wikimedia	v20210402	Tatoeba	v2022-03-03	52	199	1	1.92	.50
wikimedia	v20210402	Tatoeba	v2021-03-10	52	198	1	1.92	.50
wikimedia	v20210402	Tatoeba	v2021-07-22	52	198	1	1.92	.50
wikimedia	v20210402	Tatoeba	v2020-11-09	52	194	1	1.92	.51
wikimedia	v20210402	GNOME	v1	52	1911	0	0	0
wikimedia	v20210402	Ubuntu	v14.10	52	1222	0	0	0
wikimedia	v20210402	Tatoeba	v2020-05-31	52	189	0	0	0
wikimedia	v20210402	Tatoeba	v20190709	52	149	0	0	0
wikimedia	v20210402	Tatoeba	v2	52	130	0	0	0
