corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
wikimedia	v20210402	wikimedia	v20230407	10041	24794	9745	97.05	39.30
wikimedia	v20210402	NLLB	v1	10041	74261845	1173	11.68	0
wikimedia	v20210402	HPLT	v2	10041	3188231	183	1.82	0
wikimedia	v20210402	MultiHPLT	v2	10041	3188231	183	1.82	0
wikimedia	v20210402	ParaCrawl-Bonus	v9	10041	3158026	126	1.25	0
wikimedia	v20210402	WikiMatrix	v1	10041	71277	116	1.15	.16
wikimedia	v20210402	MultiCCAligned	v1	10041	1169961	38	.37	0
wikimedia	v20210402	CCAligned	v1	10041	1169942	38	.37	0
wikimedia	v20210402	translatewiki	v2025-01-01	10041	23755	36	.35	.15
wikimedia	v20210402	XLEnt	v1	10041	290950	19	.18	0
wikimedia	v20210402	XLEnt	v1.1	10041	290950	19	.18	0
wikimedia	v20210402	XLEnt	v1.2	10041	290950	19	.18	0
wikimedia	v20210402	CCMatrix	v1	10041	1148843	11	.10	0
wikimedia	v20210402	GNOME	v1	10041	9529	2	.01	.02
wikimedia	v20210402	Tanzil	v1	10041	267308	0	0	0
wikimedia	v20210402	QED	v2.0a	10041	15551	0	0	0
wikimedia	v20210402	TED2020	v1	10041	11355	1	0	0
wikimedia	v20210402	NeuLab-TedTalks	v1	10041	6341	1	0	.01
wikimedia	v20210402	Tatoeba	v2023-04-12	10041	3695	1	0	.02
wikimedia	v20210402	Tatoeba	v2022-03-03	10041	3673	1	0	.02
wikimedia	v20210402	Tatoeba	v2021-07-22	10041	3672	1	0	.02
wikimedia	v20210402	Tatoeba	v2021-03-10	10041	3671	1	0	.02
wikimedia	v20210402	Tatoeba	v2020-11-09	10041	3667	1	0	.02
wikimedia	v20210402	Tatoeba	v2020-05-31	10041	3659	0	0	0
wikimedia	v20210402	Tatoeba	v20190709	10041	3648	0	0	0
wikimedia	v20210402	Ubuntu	v14.10	10041	893	0	0	0
wikimedia	v20210402	Tatoeba	v2	10041	392	0	0	0
wikimedia	v20210402	ELRC-3059-wikipedia_health	v1	10041	130	1	0	.76
wikimedia	v20210402	ELRC-wikipedia_health	v1	10041	130	1	0	.76
wikimedia	v20210402	ELRC_2922	v1	10041	129	0	0	0
