corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
wikimedia	v20210402	wikimedia	v20230407	22057	46453	21593	97.89	46.48
wikimedia	v20210402	WikiMatrix	v1	22057	881756	3198	14.49	.36
wikimedia	v20210402	NLLB	v1	22057	31979757	2077	9.41	0
wikimedia	v20210402	wikimedia	v20190628	22057	3193	1466	6.64	45.91
wikimedia	v20210402	OpenSubtitles	v2018	22057	15182769	196	.88	0
wikimedia	v20210402	OpenSubtitles	v2016	22057	12808446	183	.82	0
wikimedia	v20210402	XLEnt	v1.1	22057	230675	118	.53	.05
wikimedia	v20210402	XLEnt	v1	22057	230675	118	.53	.05
wikimedia	v20210402	XLEnt	v1.2	22057	230675	118	.53	.05
wikimedia	v20210402	CCAligned	v1	22057	295395	99	.44	.03
wikimedia	v20210402	MultiCCAligned	v1.1	22057	295395	99	.44	.03
wikimedia	v20210402	MultiCCAligned	v1	22057	295395	99	.44	.03
wikimedia	v20210402	OpenSubtitles	v2012	22057	2021913	86	.38	0
wikimedia	v20210402	OpenSubtitles	v2013	22057	1332947	69	.31	0
wikimedia	v20210402	Mozilla-I10n	v1	22057	26272	48	.21	.18
wikimedia	v20210402	HPLT	v1	22057	192034	42	.19	.02
wikimedia	v20210402	MultiHPLT	v1	22057	192034	42	.19	.02
wikimedia	v20210402	QED	v2.0a	22057	29826	22	.09	.07
wikimedia	v20210402	SETIMES	v2	22057	149501	6	.02	0
wikimedia	v20210402	GNOME	v1	22057	675	4	.01	.59
wikimedia	v20210402	ELRC_2922	v1	22057	205	4	.01	1.95
wikimedia	v20210402	ELRC-3047-wikipedia_health	v1	22057	205	4	.01	1.95
wikimedia	v20210402	ELRC-wikipedia_health	v1	22057	205	4	.01	1.95
wikimedia	v20210402	Tanzil	v1	22057	17735	0	0	0
wikimedia	v20210402	TED2020	v1	22057	12387	2	0	.01
wikimedia	v20210402	NeuLab-TedTalks	v1	22057	6773	0	0	0
wikimedia	v20210402	Tatoeba	v2023-04-12	22057	1719	0	0	0
wikimedia	v20210402	EUbookshop	v2	22057	871	0	0	0
wikimedia	v20210402	Tatoeba	v2022-03-03	22057	628	0	0	0
wikimedia	v20210402	Tatoeba	v2021-07-22	22057	580	0	0	0
wikimedia	v20210402	Tatoeba	v2020-11-09	22057	558	0	0	0
wikimedia	v20210402	Tatoeba	v2021-03-10	22057	558	0	0	0
wikimedia	v20210402	Tatoeba	v2020-05-31	22057	557	0	0	0
wikimedia	v20210402	Tatoeba	v20190709	22057	553	0	0	0
wikimedia	v20210402	Tatoeba	v2	22057	342	0	0	0
wikimedia	v20210402	tldr-pages	v2023-08-29	22057	270	0	0	0
wikimedia	v20210402	Ubuntu	v14.10	22057	46	1	0	2.17
