corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
wikimedia	v20210402	wikimedia	v20230407	456180	822231	453216	99.35	55.12
wikimedia	v20210402	WikiMatrix	v1	456180	23733186	134533	29.49	.56
wikimedia	v20210402	CCMatrix	v1	456180	533454428	36120	7.91	0
wikimedia	v20210402	NLLB	v1	456180	533037982	36109	7.91	0
wikimedia	v20210402	wikimedia	v20190628	456180	37537	24015	5.26	63.97
wikimedia	v20210402	MultiParaCrawl	v9	456180	220525299	13447	2.94	0
wikimedia	v20210402	MultiParaCrawl	v9b	456180	220525299	13447	2.94	0
wikimedia	v20210402	ParaCrawl	v9	456180	220525299	13447	2.94	0
wikimedia	v20210402	MultiParaCrawl	v8	456180	181982536	11079	2.42	0
wikimedia	v20210402	ParaCrawl	v8	456180	181982536	11079	2.42	0
wikimedia	v20210402	MultiCCAligned	v1.1	456180	94632804	7851	1.72	0
wikimedia	v20210402	MultiCCAligned	v1	456180	94632804	7851	1.72	0
wikimedia	v20210402	CCAligned	v1	456180	94632717	7851	1.72	0
wikimedia	v20210402	Wikipedia	v1.0	456180	2477089	6493	1.42	.26
wikimedia	v20210402	LinguaTools-WikiTitles	v2014	456180	2438842	5234	1.14	.21
wikimedia	v20210402	MultiParaCrawl	v7.1	456180	79923441	4833	1.05	0
wikimedia	v20210402	ParaCrawl	v7.1	456180	79923441	4833	1.05	0
wikimedia	v20210402	ParaCrawl	v1	456180	30276960	4213	.92	.01
wikimedia	v20210402	WikiTitles	v3	456180	1349243	3758	.82	.27
wikimedia	v20210402	XLEnt	v1.1	456180	3351823	3317	.72	.09
wikimedia	v20210402	XLEnt	v1.2	456180	3351823	3317	.72	.09
wikimedia	v20210402	XLEnt	v1	456180	3351823	3317	.72	.09
wikimedia	v20210402	ELRC-4217-NTEU_TierA	v1	456180	13590557	3235	.70	.02
wikimedia	v20210402	ELRC-4244-NTEU_TierA	v1	456180	11895609	3021	.66	.02
wikimedia	v20210402	ELRC-4258-NTEU_TierA	v1	456180	10898481	2927	.64	.02
wikimedia	v20210402	ELRC-4240-NTEU_TierA	v1	456180	6832723	2272	.49	.03
wikimedia	v20210402	ELRC-4189-NTEU_TierA	v1	456180	6722009	2273	.49	.03
wikimedia	v20210402	ELRC-4149-NTEU_TierA	v1	456180	6376442	2261	.49	.03
wikimedia	v20210402	ELRC-4171-NTEU_TierA	v1	456180	6156952	2221	.48	.03
wikimedia	v20210402	MultiParaCrawl	v5	456180	38590372	2113	.46	0
wikimedia	v20210402	ParaCrawl	v5	456180	38590372	2113	.46	0
wikimedia	v20210402	ParaCrawl	v4	456180	18478509	1879	.41	.01
