corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
wikimedia	v20210402	wikimedia	v20190628	128	27	3	2.34	11.11
wikimedia	v20210402	XLEnt	v1.1	128	263521	1	.78	0
wikimedia	v20210402	XLEnt	v1	128	263521	1	.78	0
wikimedia	v20210402	KDE4	v2	128	42660	1	.78	0
wikimedia	v20210402	WikiMatrix	v1	128	32250	1	.78	0
wikimedia	v20210402	Tatoeba	v2021-07-22	128	223	1	.78	.44
wikimedia	v20210402	Tatoeba	v2022-03-03	128	223	1	.78	.44
wikimedia	v20210402	Tatoeba	v2021-03-10	128	218	1	.78	.45
wikimedia	v20210402	Tatoeba	v2020-11-09	128	207	1	.78	.48
wikimedia	v20210402	CCMatrix	v1	128	1367028	0	0	0
wikimedia	v20210402	Ubuntu	v14.10	128	5537	0	0	0
wikimedia	v20210402	GNOME	v1	128	2149	0	0	0
wikimedia	v20210402	Tatoeba	v2020-05-31	128	204	0	0	0
wikimedia	v20210402	Tatoeba	v20190709	128	191	0	0	0
wikimedia	v20210402	Tatoeba	v2	128	112	0	0	0
