corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
wikimedia	v20210402	wikimedia	v20230407	85	93	84	98.82	90.32
wikimedia	v20210402	wikimedia	v20190628	85	60	37	43.52	61.66
wikimedia	v20210402	Tatoeba	v2021-03-10	85	543	1	1.17	.18
wikimedia	v20210402	Tatoeba	v2021-07-22	85	543	1	1.17	.18
wikimedia	v20210402	Tatoeba	v2022-03-03	85	543	1	1.17	.18
wikimedia	v20210402	Tatoeba	v2023-04-12	85	543	1	1.17	.18
wikimedia	v20210402	Tatoeba	v2020-11-09	85	541	1	1.17	.18
wikimedia	v20210402	Tatoeba	v2020-05-31	85	540	0	0	0
wikimedia	v20210402	Tatoeba	v20190709	85	539	0	0	0
wikimedia	v20210402	Tatoeba	v2	85	474	0	0	0
