corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
wikimedia	v20210402	WikiMatrix	v1	1749281	18783887	278194	15.90	1.48
wikimedia	v20210402	CCMatrix	v1	1749281	798656090	110038	6.29	.01
wikimedia	v20210402	MultiParaCrawl	v8	1749281	199141573	27258	1.55	.01
wikimedia	v20210402	MultiParaCrawl	v9	1749281	187085885	24731	1.41	.01
wikimedia	v20210402	MultiParaCrawl	v9b	1749281	187085885	24731	1.41	.01
wikimedia	v20210402	ParaCrawl	v9	1749281	187085885	24731	1.41	.01
wikimedia	v20210402	MultiCCAligned	v1.1	1749281	102410788	17769	1.01	.01
wikimedia	v20210402	CCAligned	v1	1749281	102410685	17769	1.01	.01
wikimedia	v20210402	wikimedia	v20190628	1749281	16205	10266	.58	63.35
wikimedia	v20210402	WikiTitles	v3	1749281	895267	8163	.46	.91
wikimedia	v20210402	XLEnt	v1.1	1749281	6760567	7245	.41	.10
wikimedia	v20210402	XLEnt	v1	1749281	6760567	7245	.41	.10
wikimedia	v20210402	UNPC	v1.0	1749281	24410320	6325	.36	.02
wikimedia	v20210402	OpenSubtitles	v2018	1749281	42876478	4582	.26	.01
wikimedia	v20210402	ELRC-4159-NTEU_TierA	v1	1749281	11724160	4643	.26	.03
wikimedia	v20210402	ELRC-4144-NTEU_TierA	v1	1749281	12470878	4526	.25	.03
wikimedia	v20210402	ELRC-4166-NTEU_TierA	v1	1749281	9514731	4254	.24	.04
wikimedia	v20210402	ELRC-4227-NTEU_TierA	v1	1749281	7414675	4171	.23	.05
wikimedia	v20210402	ELRC-4250-NTEU_TierA	v1	1749281	7092287	4038	.23	.05
wikimedia	v20210402	Wikipedia	v1.0	1749281	830904	4145	.23	.49
wikimedia	v20210402	ELRC-4212-NTEU_TierA	v1	1749281	6955376	3969	.22	.05
wikimedia	v20210402	ELRC-4163-NTEU_TierA	v1	1749281	6278278	3844	.21	.06
wikimedia	v20210402	giga-fren	v2	1749281	21270622	3552	.20	.01
wikimedia	v20210402	TildeMODEL	v2018	1749281	5592948	3512	.20	.06
wikimedia	v20210402	EUbookshop	v2	1749281	13922861	3434	.19	.02
wikimedia	v20210402	JRC-Acquis	v3.0	1749281	1956392	2279	.13	.11
wikimedia	v20210402	ELRC-4241-NTEU_TierA	v1	1749281	1665033	2312	.13	.13
wikimedia	v20210402	MBS	v1	1749281	2281253	1787	.10	.07
wikimedia	v20210402	KDE4	v2	1749281	166905	1310	.07	.78
wikimedia	v20210402	ELRC-2410-Portal_oficial_turis	v1	1749281	147965	1033	.05	.69
wikimedia	v20210402	EuroPat	v2	1749281	11489429	764	.04	0
wikimedia	v20210402	EuroPat	v3	1749281	10716853	777	.04	0
wikimedia	v20210402	EuroPat	v1	1749281	8944736	742	.04	0
wikimedia	v20210402	QED	v2.0a	1749281	1265895	780	.04	.06
wikimedia	v20210402	Mozilla-I10n	v1	1749281	55750	855	.04	1.53
wikimedia	v20210402	EMEA	v3	1749281	352316	606	.03	.17
wikimedia	v20210402	ELRC-2720-EMEA	v1	1749281	732816	503	.02	.06
wikimedia	v20210402	ELRC-EMEA	v1	1749281	732816	503	.02	.06
wikimedia	v20210402	EhuHac	v1	1749281	602206	373	.02	.06
wikimedia	v20210402	OpenSubtitles	v1	1749281	535394	458	.02	.08
wikimedia	v20210402	GlobalVoices	v2018q4	1749281	457118	452	.02	.09
wikimedia	v20210402	GlobalVoices	v2017q3	1749281	416159	409	.02	.09
wikimedia	v20210402	GlobalVoices	v2015	1749281	364202	370	.02	.10
wikimedia	v20210402	ELRC-5179-acts_Ukrainian	v1	1749281	126028	475	.02	.37
wikimedia	v20210402	OfisPublik	v1	1749281	61478	471	.02	.76
wikimedia	v20210402	OpenOffice	v3	1749281	47166	480	.02	1.01
wikimedia	v20210402	OpenOffice	v2	1749281	31830	356	.02	1.11
wikimedia	v20210402	Europarl	v8	1749281	2180255	246	.01	.01
wikimedia	v20210402	Tatoeba	v2022-03-03	1749281	509441	179	.01	.03
wikimedia	v20210402	ECB	v1	1749281	341341	320	.01	.09
wikimedia	v20210402	ELRC-EUIPO_list	v1	1749281	53568	213	.01	.39
wikimedia	v20210402	ELRA-W0201	v1	1749281	36287	349	.01	.96
wikimedia	v20210402	ELRC-638-Luxembourg.lu	v1	1749281	36287	349	.01	.96
wikimedia	v20210402	KDEdoc	v1	1749281	21222	246	.01	1.15
wikimedia	v20210402	ELRC_2922	v1	1749281	4292	282	.01	6.57
wikimedia	v20210402	ELRC-3074-wikipedia_health	v1	1749281	4292	282	.01	6.57
wikimedia	v20210402	ELRC-wikipedia_health	v1	1749281	4292	282	.01	6.57
wikimedia	v20210402	MultiUN	v1	1749281	11167694	0	0	0
wikimedia	v20210402	ELRC-5067-SciPar	v1	1749281	1126776	106	0	0
wikimedia	v20210402	Tatoeba	v2021-03-10	1749281	469229	167	0	.03
wikimedia	v20210402	Tatoeba	v2020-11-09	1749281	452708	162	0	.03
wikimedia	v20210402	Tatoeba	v2021-07-22	1749281	444821	163	0	.03
wikimedia	v20210402	TED2020	v1	1749281	437124	163	0	.03
wikimedia	v20210402	Tatoeba	v2020-05-31	1749281	435694	155	0	.03
wikimedia	v20210402	News-Commentary	v16	1749281	428439	107	0	.02
wikimedia	v20210402	Tatoeba	v20190709	1749281	394746	148	0	.03
wikimedia	v20210402	News-Commentary	v14	1749281	375202	102	0	.02
wikimedia	v20210402	News-Commentary	v11	1749281	268393	101	0	.03
wikimedia	v20210402	ELRC-1122-CORDIS_Results_Brief	v1	1749281	259815	11	0	0
wikimedia	v20210402	ELRC-CORDIS_Results	v1	1749281	259815	11	0	0
wikimedia	v20210402	News-Commentary	v9.0	1749281	248316	84	0	.03
wikimedia	v20210402	News-Commentary	v9.1	1749281	248310	84	0	.03
wikimedia	v20210402	Tatoeba	v2	1749281	224269	98	0	.04
wikimedia	v20210402	Books	v1	1749281	161963	98	0	.06
wikimedia	v20210402	TED2013	v1.1	1749281	158664	94	0	.05
wikimedia	v20210402	ELRC-1118-CORDIS_News	v1	1749281	132399	59	0	.04
wikimedia	v20210402	ELRC-CORDIS_News	v1	1749281	132399	59	0	.04
wikimedia	v20210402	ELRC-EUIPO_law	v1	1749281	87277	93	0	.10
wikimedia	v20210402	ELRA-W0138	v1	1749281	87276	93	0	.10
wikimedia	v20210402	ELRC-1075-EUIPO_law	v1	1749281	87276	93	0	.10
wikimedia	v20210402	UN	v20090831	1749281	59831	96	0	.16
wikimedia	v20210402	ELRA-W0148	v1	1749281	44242	172	0	.38
wikimedia	v20210402	ELRC-1098-EUIPO_list	v1	1749281	44242	172	0	.38
wikimedia	v20210402	ELRA-W0152	v1	1749281	44180	150	0	.33
