corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
wikimedia	v20230407	wikimedia	v20210402	1389	808	798	57.45	98.76
wikimedia	v20230407	wikimedia	v20190628	1389	17	8	.57	47.05
wikimedia	v20230407	XLEnt	v1.1	1389	24459	4	.28	.01
wikimedia	v20230407	XLEnt	v1	1389	24459	4	.28	.01
wikimedia	v20230407	XLEnt	v1.2	1389	24459	4	.28	.01
wikimedia	v20230407	WikiMatrix	v1	1389	16991	1	.07	0
wikimedia	v20230407	Tatoeba	v2022-03-03	1389	111	1	.07	.90
wikimedia	v20230407	Tatoeba	v2023-04-12	1389	111	1	.07	.90
wikimedia	v20230407	Tatoeba	v2021-07-22	1389	109	1	.07	.91
wikimedia	v20230407	Tatoeba	v2021-03-10	1389	107	1	.07	.93
wikimedia	v20230407	Tatoeba	v2020-11-09	1389	106	1	.07	.94
wikimedia	v20230407	Tatoeba	v2020-05-31	1389	93	0	0	0
wikimedia	v20230407	Tatoeba	v20190709	1389	92	0	0	0
