corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
wikimedia	v20230407	wikimedia	v20210402	68611	36468	35929	52.36	98.52
wikimedia	v20230407	NLLB	v1	68611	18811071	4747	6.91	.02
wikimedia	v20230407	XLEnt	v1.1	68611	214170	76	.11	.03
wikimedia	v20230407	XLEnt	v1.2	68611	214170	76	.11	.03
wikimedia	v20230407	XLEnt	v1	68611	214170	76	.11	.03
wikimedia	v20230407	MultiCCAligned	v1	68611	835084	66	.09	0
wikimedia	v20230407	CCAligned	v1	68611	835069	66	.09	0
wikimedia	v20230407	KDE4	v2	68611	61505	57	.08	.09
wikimedia	v20230407	Ubuntu	v14.10	68611	20783	52	.07	.25
wikimedia	v20230407	GNOME	v1	68611	42889	48	.06	.11
wikimedia	v20230407	QED	v2.0a	68611	18278	0	0	0
wikimedia	v20230407	EUbookshop	v2	68611	2855	4	0	.14
wikimedia	v20230407	Tatoeba	v2023-04-12	68611	1027	1	0	.09
wikimedia	v20230407	Tatoeba	v2022-03-03	68611	989	1	0	.10
wikimedia	v20230407	Tatoeba	v2020-11-09	68611	838	1	0	.11
wikimedia	v20230407	Tatoeba	v2021-03-10	68611	838	1	0	.11
wikimedia	v20230407	Tatoeba	v2021-07-22	68611	838	1	0	.11
wikimedia	v20230407	Tatoeba	v2020-05-31	68611	818	0	0	0
wikimedia	v20230407	Tatoeba	v20190709	68611	713	0	0	0
wikimedia	v20230407	Tatoeba	v2	68611	314	0	0	0
