corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
wikimedia	v20230407	wikimedia	v20210402	67071	40624	40296	60.07	99.19
wikimedia	v20230407	WikiMatrix	v1	67071	436050	2520	3.75	.57
wikimedia	v20230407	CCMatrix	v1	67071	51996397	2435	3.63	0
wikimedia	v20230407	NLLB	v1	67071	51995658	2435	3.63	0
wikimedia	v20230407	ParaCrawl	v8	67071	41939064	738	1.10	0
wikimedia	v20230407	ParaCrawl	v9	67071	34207153	571	.85	0
wikimedia	v20230407	LinguaTools-WikiTitles	v2014	67071	2968008	303	.45	.01
wikimedia	v20230407	MultiCCAligned	v1	67071	10687333	189	.28	0
wikimedia	v20230407	CCAligned	v1	67071	10687146	189	.28	0
wikimedia	v20230407	ELRC-4248-NTEU_TierA	v1	67071	13598397	170	.25	0
wikimedia	v20230407	DGT	v2019	67071	3567131	99	.14	0
wikimedia	v20230407	XLEnt	v1.1	67071	2832109	99	.14	0
wikimedia	v20230407	XLEnt	v1.2	67071	2832109	99	.14	0
wikimedia	v20230407	XLEnt	v1	67071	2832109	99	.14	0
wikimedia	v20230407	DGT	v4	67071	1946755	98	.14	0
wikimedia	v20230407	KDE4	v2	67071	165984	72	.10	.04
wikimedia	v20230407	EUbookshop	v2	67071	4495240	47	.07	0
wikimedia	v20230407	MultiParaCrawl	v7.1	67071	10407633	43	.06	0
wikimedia	v20230407	ParaCrawl	v7.1	67071	10407632	42	.06	0
wikimedia	v20230407	ELRC-2716-EMEA	v1	67071	767928	34	.05	0
wikimedia	v20230407	ELRC-EMEA	v1	67071	767928	34	.05	0
wikimedia	v20230407	ELRC-3066-wikipedia_health	v1	67071	523	35	.05	6.69
wikimedia	v20230407	ELRC-wikipedia_health	v1	67071	523	35	.05	6.69
wikimedia	v20230407	ELRC_2922	v1	67071	522	34	.05	6.51
wikimedia	v20230407	ELRC_2682	v1	67071	767927	33	.04	0
wikimedia	v20230407	OpenSubtitles	v2018	67071	12095471	21	.03	0
wikimedia	v20230407	ParaCrawl	v5	67071	4569268	23	.03	0
wikimedia	v20230407	JRC-Acquis	v3.0	67071	502171	24	.03	0
wikimedia	v20230407	OpenSubtitles	v2016	67071	9378053	19	.02	0
wikimedia	v20230407	ECB	v1	67071	137975	18	.02	.01
wikimedia	v20230407	ELRC-850-www.dst.dk	v1	67071	22814	17	.02	.07
wikimedia	v20230407	EMEA	v3	67071	355116	13	.01	0
wikimedia	v20230407	ELRC-730-www.norden.org	v1	67071	36624	11	.01	.03
wikimedia	v20230407	ELRC-www.norden.org	v1	67071	36624	11	.01	.03
wikimedia	v20230407	ELRC-848-laegemiddelstyrelsen	v1	67071	22502	11	.01	.04
wikimedia	v20230407	ELRC-2013-EUIPO_2017	v1	67071	17269	7	.01	.04
wikimedia	v20230407	ELRC-EUIPO_2017	v1	67071	17269	7	.01	.04
wikimedia	v20230407	ELRC-851-www.vikingeskibsmuse	v1	67071	12395	9	.01	.07
wikimedia	v20230407	ParaCrawl	v4	67071	2395328	1	0	0
wikimedia	v20230407	Europarl	v8	67071	1949878	3	0	0
wikimedia	v20230407	Europarl	v7	67071	1949502	3	0	0
wikimedia	v20230407	Europarl	v3	67071	1276675	3	0	0
wikimedia	v20230407	QED	v2.0a	67071	165595	4	0	0
wikimedia	v20230407	ELITR-ECA	v1	67071	117419	5	0	0
wikimedia	v20230407	TED2020	v1	67071	70497	1	0	0
wikimedia	v20230407	bible-uedin	v1	67071	61447	0	0	0
wikimedia	v20230407	NeuLab-TedTalks	v1	67071	47296	1	0	0
wikimedia	v20230407	ELRC-847-mst.dk	v1	67071	36733	1	0	0
wikimedia	v20230407	Tatoeba	v2023-04-12	67071	32727	1	0	0
wikimedia	v20230407	Tatoeba	v2022-03-03	67071	31862	1	0	0
wikimedia	v20230407	Tatoeba	v2021-07-22	67071	30835	1	0	0
wikimedia	v20230407	Tatoeba	v2021-03-10	67071	30475	1	0	0
wikimedia	v20230407	Tatoeba	v2020-11-09	67071	30038	1	0	0
wikimedia	v20230407	Tatoeba	v2020-05-31	67071	29626	0	0	0
wikimedia	v20230407	Tatoeba	v20190709	67071	27912	0	0	0
wikimedia	v20230407	OpenSubtitles	v1	67071	23525	2	0	0
wikimedia	v20230407	ELRC-3567-EUR_LEX_covid	v1	67071	21233	1	0	0
wikimedia	v20230407	ELRC-EUR_LEX	v1	67071	21233	1	0	0
wikimedia	v20230407	ELRA-W0214	v1	67071	16241	0	0	0
wikimedia	v20230407	ELRC-2877-EU_publications_medi	v1	67071	13221	4	0	.03
wikimedia	v20230407	ELRC-EU_publications	v1	67071	13221	4	0	.03
wikimedia	v20230407	ELRC-849-ufm.dk	v1	67071	10052	1	0	0
wikimedia	v20230407	Tatoeba	v2	67071	8658	0	0	0
wikimedia	v20230407	ELRC-1062-rigsrevisionen.dk	v1	67071	8234	5	0	.06
wikimedia	v20230407	GlobalVoices	v2018q4	67071	6970	2	0	.02
wikimedia	v20230407	ELRC-904-uk.fm.dk	v1	67071	6940	3	0	.04
wikimedia	v20230407	GlobalVoices	v2017q3	67071	6859	1	0	.01
wikimedia	v20230407	EUconst	v1	67071	6685	3	0	.04
wikimedia	v20230407	GlobalVoices	v2015	67071	6586	1	0	.01
wikimedia	v20230407	ELRC-3608-presscorner_covid	v1	67071	6254	1	0	.01
wikimedia	v20230407	ELRC-presscorner_covid	v1	67071	6254	1	0	.01
wikimedia	v20230407	Ubuntu	v14.10	67071	6136	6	0	.09
wikimedia	v20230407	ELRC-892-slks.dk	v1	67071	4956	1	0	.02
wikimedia	v20230407	ELRC-885-www.aarhus2017.dk	v1	67071	4708	1	0	.02
wikimedia	v20230407	TildeMODEL	v2018	67071	4411	3	0	.06
wikimedia	v20230407	ELRC-893-natmus.dk	v1	67071	3950	1	0	.02
wikimedia	v20230407	ELRC-439-Danish_Higher_Educat	v1	67071	3665	4	0	.10
wikimedia	v20230407	ELRC_3382	v1	67071	3402	0	0	0
wikimedia	v20230407	ELRC-397-Danish_Higher_Educat	v1	67071	3392	2	0	.05
wikimedia	v20230407	ELRA-W0157	v1	67071	3391	1	0	.02
wikimedia	v20230407	ELRC-905-spillemyndigheden.dk	v1	67071	3355	4	0	.11
wikimedia	v20230407	ELRC-856-naturstyrelsen.dk	v1	67071	3118	1	0	.03
wikimedia	v20230407	ELRC-394-Danish_Higher_Educat	v1	67071	3116	3	0	.09
wikimedia	v20230407	ELRC-859-um.dk	v1	67071	3055	1	0	.03
wikimedia	v20230407	ELRC-857-www.trm.dk	v1	67071	3014	1	0	.03
wikimedia	v20230407	ELRC-852-www.dma.dk	v1	67071	3010	2	0	.06
wikimedia	v20230407	ELRC-3466-EC_EUROPA_covid	v1	67071	2802	1	0	.03
wikimedia	v20230407	ELRC-EC_EUROPA	v1	67071	2802	1	0	.03
wikimedia	v20230407	ECDC	v2016-03-16	67071	2465	4	0	.16
wikimedia	v20230407	ELRC-897-Denmark_Space_Instit	v1	67071	1940	1	0	.05
