corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
wikimedia	v20230407	wikimedia	v20210402	899002	5222	5222	.58	100.00
wikimedia	v20230407	NLLB	v1	899002	30902595	528	.05	0
wikimedia	v20230407	KDE4	v2	899002	35265	107	.01	.30
wikimedia	v20230407	Tanzil	v1	899002	137534	0	0	0
wikimedia	v20230407	TED2020	v1	899002	6166	2	0	.03
wikimedia	v20230407	GNOME	v1	899002	5474	23	0	.42
wikimedia	v20230407	QED	v2.0a	899002	3310	1	0	.03
wikimedia	v20230407	Ubuntu	v14.10	899002	2124	1	0	.04
wikimedia	v20230407	Tatoeba	v2023-04-12	899002	482	2	0	.41
wikimedia	v20230407	Tatoeba	v2022-03-03	899002	464	2	0	.43
wikimedia	v20230407	Tatoeba	v2021-03-10	899002	460	2	0	.43
wikimedia	v20230407	Tatoeba	v2021-07-22	899002	460	2	0	.43
wikimedia	v20230407	Tatoeba	v2020-11-09	899002	459	2	0	.43
wikimedia	v20230407	Tatoeba	v2020-05-31	899002	457	1	0	.21
wikimedia	v20230407	Tatoeba	v20190709	899002	454	1	0	.22
wikimedia	v20230407	Tatoeba	v2	899002	232	1	0	.43
wikimedia	v20230407	wikimedia	v20190628	899002	71	24	0	33.80
